id,skill
0,S003
1,S002
2,S003
3,S001
4,S001
5,S004
6,S003
7,S001
8,S001
9,S002
10,S003
11,S001
12,S001
13,S001
14,S001
15,S001
16,S001
17,S001
18,S004
19,S001
20,S001
21,S002
22,S004
23,S002
24,S002
25,S003
26,S001
27,S001
28,S003
29,S001
30,S004
31,S001
32,S001
33,S001
34,S001
35,S004
36,S001
37,S003
38,S001
39,S001
40,S003
41,S002
42,S001
43,S004
44,S001
45,S003
46,S001
47,S002
48,S003
49,S003
50,S004
51,S001
52,S001
53,S001
54,S004
55,S001
56,S003
57,S003
58,S004
59,S001
60,S001
61,S004
62,S001
63,S004
64,S001
65,S002
66,S003
67,S002
68,S003
69,S002
70,S002
71,S004
72,S001
73,S001
74,S002
75,S003
76,S003
77,S002
78,S001
79,S001
80,S001
81,S003
82,S004
83,S001
84,S001
85,S003
86,S001
87,S002
88,S002
89,S002
90,S004
91,S004
92,S002
93,S001
94,S001
95,S002
96,S001
97,S003
98,S001
99,S001
100,S003
101,S001
102,S001
103,S002
104,S004
105,S004
106,S001
107,S001
108,S002
109,S001
110,S004
111,S001
112,S004
113,S001
114,S002
115,S004
116,S001
117,S004
118,S003
119,S003
120,S003
121,S003
122,S003
123,S002
124,S002
125,S001
126,S001
127,S004
128,S001
129,S004
130,S001
131,S001
132,S001
133,S002
134,S001
135,S001
136,S001
137,S001
138,S001
139,S002
140,S002
141,S004
142,S004
143,S001
144,S004
145,S001
146,S001
147,S004
148,S002
149,S004
150,S004
151,S004
152,S001
153,S001
154,S004
155,S003
156,S004
157,S004
158,S004
159,S001
160,S004
161,S001
162,S001
163,S002
164,S001
165,S001
166,S001
167,S001
168,S004
169,S001
170,S001
171,S004
172,S004
173,S002
174,S002
175,S004
176,S002
177,S004
178,S002
179,S002
180,S001
181,S002
182,S004
183,S004
184,S001
185,S002
186,S001
187,S001
188,S001
189,S003
190,S003
191,S001
192,S001
193,S001
194,S001
195,S001
196,S002
197,S003
198,S002
199,S001
200,S001
201,S001
202,S003
203,S004
204,S004
205,S001
206,S002
207,S001
208,S003
209,S004
210,S001
211,S001
212,S004
213,S001
214,S001
215,S001
216,S002
217,S004
218,S001
219,S004
220,S004
221,S004
222,S001
223,S002
224,S001
225,S001
226,S001
227,S002
228,S001
229,S003
230,S004
231,S001
232,S001
233,S003
234,S004
235,S002
236,S002
237,S001
238,S004
239,S003
240,S003
241,S001
242,S003
243,S004
244,S001
245,S004
246,S002
247,S001
248,S004
249,S003
250,S001
251,S004
252,S001
253,S002
254,S004
255,S001
256,S002
257,S001
258,S004
259,S001
260,S002
261,S002
262,S001
263,S002
264,S003
265,S002
266,S003
267,S001
268,S003
269,S004
270,S003
271,S002
272,S004
273,S001
274,S003
275,S002
276,S001
277,S001
278,S004
279,S001
280,S001
281,S002
282,S001
283,S001
284,S003
285,S004
286,S003
287,S004
288,S002
289,S004
290,S003
291,S004
292,S004
293,S004
294,S001
295,S002
296,S001
297,S003
298,S003
299,S001
300,S001
301,S001
302,S001
303,S003
304,S001
305,S004
306,S001
307,S001
308,S002
309,S001
310,S001
311,S004
312,S002
313,S003
314,S003
315,S001
316,S004
317,S001
318,S004
319,S003
320,S001
321,S001
322,S004
323,S001
324,S001
325,S004
326,S003
327,S004
328,S002
329,S004
330,S002
331,S002
332,S001
333,S004
334,S001
335,S001
336,S003
337,S004
338,S002
339,S004
340,S004
341,S004
342,S004
343,S003
344,S003
345,S001
346,S001
347,S004
348,S001
349,S002
350,S003
351,S003
352,S003
353,S004
354,S001
355,S004
356,S003
357,S003
358,S001
359,S004
360,S004
361,S004
362,S001
363,S003
364,S002
365,S004
366,S003
367,S001
368,S001
369,S001
370,S004
371,S001
372,S003
373,S003
374,S003
375,S004
376,S003
377,S004
378,S004
379,S003
380,S004
381,S003
382,S003
383,S002
384,S002
385,S002
386,S004
387,S001
388,S001
389,S001
390,S001
391,S001
392,S004
393,S004
394,S001
395,S003
396,S003
397,S001
398,S001
399,S002
400,S001
401,S004
402,S003
403,S001
404,S002
405,S002
406,S001
407,S001
408,S004
409,S004
410,S002
411,S003
412,S003
413,S002
414,S004
415,S002
416,S001
417,S004
418,S003
419,S001
420,S003
421,S004
422,S004
423,S001
424,S004
425,S004
426,S002
427,S003
428,S003
429,S003
430,S004
431,S001
432,S001
433,S004
434,S001
435,S004
436,S002
437,S003
438,S003
439,S003
440,S003
441,S004
442,S001
443,S002
444,S001
445,S004
446,S004
447,S002
448,S001
449,S003
450,S002
451,S003
452,S001
453,S001
454,S004
455,S001
456,S001
457,S002
458,S003
459,S002
460,S002
461,S004
462,S004
463,S001
464,S004
465,S001
466,S002
467,S004
468,S003
469,S002
470,S002
471,S001
472,S003
473,S002
474,S004
475,S003
476,S004
477,S003
478,S001
479,S002
480,S003
481,S001
482,S001
483,S001
484,S004
485,S002
486,S001
487,S004
488,S004
489,S002
490,S004
491,S004
492,S003
493,S002
494,S002
495,S003
496,S004
497,S004
498,S001
499,S004
500,S003
501,S001
502,S001
503,S002
504,S003
505,S001
506,S002
507,S003
508,S001
509,S001
510,S004
511,S004
512,S003
513,S003
514,S001
515,S004
516,S003
517,S002
518,S004
519,S002
520,S002
521,S001
522,S002
523,S004
524,S004
525,S004
526,S001
527,S001
528,S004
529,S003
530,S001
531,S003
532,S003
533,S002
534,S004
535,S003
536,S001
537,S001
538,S001
539,S001
540,S002
541,S003
542,S004
543,S001
544,S002
545,S004
546,S002
547,S004
548,S002
549,S001
550,S003
551,S003
552,S004
553,S004
554,S001
555,S001
556,S002
557,S001
558,S001
559,S003
560,S002
561,S001
562,S001
563,S004
564,S003
565,S002
566,S003
567,S001
568,S001
569,S003
570,S004
571,S001
572,S004
573,S003
574,S002
575,S001
576,S001
577,S001
578,S004
579,S001
580,S002
581,S004
582,S002
583,S001
584,S004
585,S004
586,S003
587,S004
588,S001
589,S003
590,S003
591,S004
592,S002
593,S002
594,S001
595,S002
596,S002
597,S001
598,S001
599,S003
600,S001
601,S004
602,S001
603,S001
604,S003
605,S004
606,S003
607,S004
608,S002
609,S001
610,S001
611,S001
612,S001
613,S004
614,S001
615,S002
616,S004
617,S001
618,S002
619,S004
620,S002
621,S002
622,S003
623,S004
624,S002
625,S002
626,S004
627,S003
628,S001
629,S003
630,S001
631,S004
632,S002
633,S004
634,S002
635,S004
636,S001
637,S002
638,S002
639,S001
640,S003
